Sr. No.,Name of Society,Types of society,Category,Address,State,District,Date of Registration,Year,Area of Operation,Sector Type
1,saharayn universal multipurose society limited,Multipurose society,Other,"At & P.O. Railway Colony, Gorakkhpur, District-Gorakhpur Uttar Pradesh",UTTAR PRADESH,KUSHI NAGAR,13/10/2022,2022,"Haryana, UttarPradesh, Himachal, Punjab",Credit
2,JMJ Multi State Agro Cooperative Society Ltd.,Cooperative Society,Agro,"TC 48/1442-1, Sreeniva, Parekkati House, Chathankulangara Temple South, Puthurkkara, Ayyanthole, Thrissur 680003 Kerala",KERALA,,13/10/2022,2022,"Bihar, West bengal, Odisha",Agro
3,Devbhoomi Agro Multi State Cooperative Society Ltd.,Cooperative Society,Agro,"S/o Sateesh Kumar, Tejupur, Haridwar, Uttarakhand 247661",UTTARAKHAND,,04/10/2022,2022,"Tamil Nadu, karnataks",Agro
4,Aarya Multi Specialty Cooperative Hospital and Hospital and Research Center ltd.,Research Center,Health/Hospital,"Gate No 165, Nimgaon (T), Madha, Solapur, 413210 maharashtra",MAHARASHTRA,,04/10/2022,2022,"Haryana, Punajb",Health/Hospital
5,Agriculture Development Cooperative Federation,Development Cooperative,Federation,"A/P 344, Lower Ground Floor, Sector 86, Preet City, SAS Nagar, Mohali, Punjab
160055",PUNJAB,,22/09/2022,2022,"Manipur, Meghalaya",Federation
6,Prosperity Multi State Housing Cooperative Society ltd.,Cooperative Society,Housing,"Jayem Arcade 385 A6, First Floor,
Kamarajar Road, Peelamedu, Coimbatore 641004",TAMIL NADU,,15/09/2022,2022,"Maharashtra, Gujarat, Rajasthan",Housing
7,Greenfield Multi State Agro Allied and Marketing Cooperative Society Ltd. (GMAAMCS),Society Ltd,Agro,"Plot No 92, H.No 4-487, New Balaji Nagar Colony, Meerpet, Behind Janapriya Apartments, Hyderabad 500097 Telangana",TELANGANA,,12/09/2022,2022,"Gujarat, Rajasthan",Agro
8,Shri Sharda Agro Multi State Co- operative Society Ltd.,Operative Society,Agro,Shri Sharda Agro Multi State Co-operative Society Ltd.,UTTAR PRADESH,,02/09/2022,2022,"Maharashtra,Goa.Karnataka, Andhra Pradesh",Agro
9,Nature Delight Multi State Cooperative Dairy & Agro Products Ltd.,Agro Products,Agro,"Kalas Gate, No 1189, A/P Kalas, Indapur, Pune 413105 Maharashtra",MAHARASHTRA,,31/08/2022,2022,"Andhra Pradesh, Telangna",Agro
10,Travancore Cochin Tourism Cooperative Society Ltd,Cooperative Society,Tourism,"Idukki, Kerala 685584",KERALA,IDUKKI,31/08/2022,2022,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Tourism
11,Janamaitheri Agricultural Cooperative Society Ltd.,Cooperative Society,Agro,Janamaitheri Agricultural Cooperative Society Ltd.,KERALA,THIRUVANANTHAPURAM,16/08/2022,2022,"Maharashtra, Gujarat, Rajasthan",Agro
12,Swaraj Multipurpose Federation of Cooperative Society Ltd,Cooperative Society,Federation,"Shop No 2, Yadav Market, Opposite Radha Ballav mandir, Palla Chowk, Tilak Road,
Faridabad 121001 Haryana",HARYANA,,16/08/2022,2022,"Gujarat, Rajasthan",Federation
13,Green Safe Multi State Agriculture Cooperative Society Ltd.,Cooperative Society,Agro,"Coimbatore, Tamil Nadu",TAMIL NADU,COIMBATORE,12/08/2022,2022,"Haryana, Delhi",Agro
14,Mango Growers cooperative society Ltd. (MANCO),Society Ltd,Cooperative Society,Visakhapatnam,ANDHRA PRADESH,VISAKHAPATANAM,10/08/2022,2022,"Haryana, Delhi, UttarPradesh, ",Agro
15,Srijan Krishi Vipnan Multi State Cooperative Society Ltd.,Cooperative Society,Cooperative Society,Lucknow,UTTAR PRADESH,LUCKNOW,29/07/2022,2022,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Agro
16,Kamal Multispeciality Cooperative Hospital & Research center Ltd.,Research center,Research center,Beed Maharashtra,MAHARASHTRA,BEED,22/07/2022,2022,"Maharashtra, Gujarat, Rajasthan",Health/Hospital
17,Nagebaba Multi Specialty Cooperative Hospital and Research Center Ltd.,Research Center,Research center,Ahmednagar,MAHARASHTRA,AHMEDNAGAR,24/06/2022,2022,"Haryana, Punjab, Rajasthan",Health/Hospital
18,The Urban Care Multi State Agro Cooperative Society Ltd.,Cooperative Society,Agro,Kerala,KERALA,KOZHIKODE,27/06/2022,2022,"Haryana, Rajasthan",Agro
19,Bharathikerkar Fishermen Cooperative Ltd. (BHARATHIKERKAR),Cooperative Ltd,Cooperative Ltd,Kerala,KERALA,THRISSUR,27/06/2022,2022,"Gujarat, Rajasthan, Haryana, Delhi",Fisheries
20,Swayam Samruddhi Multi State Cooperative Society Ltd.,Cooperative Society,Cooperative Society,"Hyderabad, Telangana",TELANGANA,HYDERABAD,15/06/2022,2022,"Kerala, karnataka, Maharashtra, Gujarat",Agro
21,"Shree Sai Seva Multi Specialty
Cooperative Hospital and Research center ltd",Research center,Research center,"Ahmednagar, Maharashtra",MAHARASHTRA,AHMEDNAGAR,15/06/2022,2022,"Maharashtra, Karnataka, Tamil nadu",Health/Hospital
22,Venkateshwara Multi State Multi Specialty Hospital and Research Ltd.,And Research,Health/Hospital,Maharashtra,MAHARASHTRA,NASIK,08/06/2022,2022,"Haryana, Gujarat, Maharashtra, Delhi",Health/Hospital
23,"Bharathimanass labour and
Construction Cooperative Ltd.",Construction Cooperative,Construction Cooperative,Manipur,MANIPUR,BISHNUPUR,06/06/2022,2022,"West bengal, Andhra Pradesh",Construction
24,Kairali Agriculture Multi State Cooperative Society Ltd.,Cooperative Society,Agro,Kerala,KERALA,THRISSUR,06/06/2022,2022,"Maharashtra, Gujarat, Rajasthan",Agro
25,Jewan Kothi Multi State Agro Cooperative Society Ltd.,Cooperative Society,Agro,Uttar Pradesh,UTTAR PRADESH,BASTI,06/06/2022,2022,"Haryana, UttarPradesh, Himachal, Punjab",Agro
26,"Bharathimanass Agriculture
Cooperative Ltd. (BHARATHIMANAS)",Cooperative Ltd,Agro,Manipur,MANIPUR,BISHNUPUR,03/06/2022,2022,"Bihar, West bengal, Odisha",Agro
27,"Youth Employability Skill Training
Cooperative Educational Society Ltd.",Educational Society,Educational Society,PATHANAMTHITTA,KERALA,ERNAKULAM,02/06/2022,2022,"Tamil Nadu, karnataks",Others
28,Jai Ratnagarbha Agriculture Multi State Cooperative Society Ltd.,Cooperative Society,Cooperative Society,"Prayag Raj, uttar Pradesh",UTTAR PRADESH,BAREILLY,28/05/2022,2022,"Haryana, Punajb",Agro
29,"Shikharji Multi State Agro Processing and Marketing Cooperative Society
Ltd",Cooperative Society,Agro,"Buldana, Maharashtra",MAHARASHTRA,BULDHANA,27/05/2022,2022,"Manipur, Meghalaya",Agro
30,News Agriculture Export & Marketing Cooperative society Ltd.,Cooperative society,Agro,"Kalkaji, Delhi",NEW DELHI,NEW DELHI,21/05/2022,2022,"Maharashtra, Gujarat, Rajasthan",Agro
31,Krashnadi Multi State Vehicle Services Cooperative Society Ltd.,Cooperative Society,Cooperative Society,"Beed, maharashtra",MAHARASHTRA,BEED,12/05/2022,2022,"Gujarat, Rajasthan",Others
32,Lotus Multi Specialty Cooperative Hospital and Research Center Ltd.,Research Center,Health/Hospital,"Osmanabad, Maharashtra",MAHARASHTRA,BEED,27/04/2022,2022,"Maharashtra,Goa.Karnataka, Andhra Pradesh",Health/Hospital
33,Keshavraj Multi Speciality Cooperative Hospital & Research Centre Ltd,Research Centre,Health/Hospital,"Osmanabad, Maharashtra",MAHARASHTRA,OSMANABAD,27/04/2022,2022,"Andhra Pradesh, Telangna",Health/Hospital
34,Keshavraj Multi Speciality Cooperative Hospital & Research Centre Ltd,Research Centre,Health/Hospital,"Kolhaour, Maharashtra",MAHARASHTRA,KOLHAPUR,27/04/2022,2022,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Health/Hospital
35,Vanashri Cooperative Power & Agro Progressive ltd,Agro Progressive,Agro,"Sangli , Maharashtra",MAHARASHTRA,SANGLI,26/04/2022,2022,"Maharashtra, Gujarat, Rajasthan",Agro
36,"Samrudh Marathwada Multi State
Vehicle Services Cooperative Society Ltd.",Cooperative Society,Others,"Beed, maharashtra",MAHARASHTRA,BEED,20/04/2022,2022,"Gujarat, Rajasthan",Others
37,"Bharathiyajkl Machuwara Samudaay Cooperative Ltd.
(BHARATHIJKLMASACO)",Cooperative Ltd,Fisheries,"Baramulla, Kashmir",JAMMU AND KASHMIR,BADGAM,18/04/2022,2022,"Haryana, Delhi",Fisheries
38,Prestige Agro Multi State Cooperative Society Ltd,Cooperative Society,Agro,Uttar Pradesh,UTTAR PRADESH,BULANDSHAHR,01/04/2022,2022,"Haryana, Delhi, UttarPradesh, ",Agro
39,Vidhata Hamal Multi State Cooperative Society Ltd,Cooperative Society,Agro,"Bhandara, Maharashtra",MAHARASHTRA,BHANDARA,01/04/2022,2022,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Agro
40,"Dr Appasahed Urf Sa. Re. Patil
Jayysinghpur Udgaon Sahakari Bank Ltd",Sahakari Bank,Cooperative Bank,"Kolhapur, maharashtra",MAHARASHTRA,KOLHAPUR,01/04/2022,2022,"Maharashtra, Gujarat, Rajasthan",Cooperative Bank
41,Krushisadhna Mahila Multi State Agro Cooperative society Ltd,Cooperative society,Agro,Nashik maharashtra,MAHARASHTRA,NASIK,01/04/2022,2022,"Haryana, Punjab, Rajasthan",Agro
42,"Seva Sadan Multi Specialty
Cooperative Hospital and Research Center Ltd",Research Center,Agro,"Gate no. 14, Chaitnya Complex, behind Tahsil karyalaya, Shrigonda Dist - Ahmednagar Pin -413701 (Maharashtra)",MAHARASHTRA,AHMEDNAGAR,21/03/2022,2022,"Haryana, Rajasthan",Agro
43,Bulandshahr Agro MultiState cooperative Society Ltd,Cooperative Society,Agro,"Mohalla Mahadev, Galimpur Road, Dibai, Bulandshahr, Uttar Pradesh-202393",UTTAR PRADESH,BULANDSHAHR,21/03/2022,2022,"Gujarat, Rajasthan, Haryana, Delhi",Agro
44,B K Dhanlakshmi Multi State Agro Cooperative Society Limited,Cooperative Society,Agro,"Mayflower signature, Office 7B, 7th Floor, Avinashi Road, Peelumedu, Coimbatore- 641004, Tamil Nadu",TAMIL NADU,COIMBATORE,08/03/2022,2022,"Kerala, karnataka, Maharashtra, Gujarat",Agro
45,The Walmik Multi State Cooperative Handloom Weavers Cooperative Society Ltd,Cooperative Society,Industrial/Textile,"Plot No 63, Aoodumbae, Gurudev nagar, Nandanavan, Hanuman Nagar, Nagpur 440009, Maharashtra",MAHARASHTRA,NAGPUR,21/02/2022,2022,"Maharashtra, Karnataka, Tamil nadu",Industrial/Textile
46,Ente Naadu Multi State Agro Co- operative Society Ltd.,Operative Society,Agro,"ST George High School, Aluva- Munnar Road, Kothamangalam, Ernakulam,
686691, Kerala",KERALA,ERNAKULAM,03/02/2022,2022,"Haryana, Gujarat, Maharashtra, Delhi",Agro
47,Rajsidhi Cooperative Cotton & Agro Industries Ltd,Agro Industries,Agro,"Ahmednagar 414401, Maharashtra",MAHARASHTRA,AHMEDNAGAR,12/01/2022,2022,"Maharashtra, Gujarat, Rajasthan",Agro
48,Natural Agro Farming Multi State Cooperative Society Ltd.,Cooperative Society,Agro,"D77, S/F, East of Kailash, New delhi 110065",NEW DELHI,NEW DELHI,12/01/2022,2022,"Kerala, karnataka, Maharashtra, Gujarat",Agro
49,Mansa Development Cooperative Society Ltd,Cooperative Society,Agro,"41 Sukh Sagar, phase 4 colony, near Mittal College, Rasal, Kharod Bhopal 38, Madhya Pradesh",MADHYA PRADESH,BHOPAL,12/10/2021,2021,"Haryana, Delhi",Agro
50,Om Agro Multi State Cooperative society Ltd,Cooperative society,Agro,Ahulana (Gohana) Sonipat Haryana 131301,HARYANA,SONIPAT,22/11/2021,2021,"Haryana, Delhi",Agro
51,Ramchandra Multi Speciality Cooperative Hospital & Research Center Ltd,Research Center,Health/Hospital,"S.No. 2/2, Near SBI bank, Savakar Colony, Islampur, Walwa, Sangli 415409,
Maharashtra",MAHARASHTRA,SANGLI,10/11/2021,2021,"Haryana, UttarPradesh, Himachal, Punjab",Health/Hospital
